dataset,datatype,mean_hamming,median_hamming,sd_hamming
Drosophila,AA,0.28383838383838383,0.3186868686868687,0.09336136319280883
Drosophila,AA,0.41787658802177857,0.4732304900181488,0.1564916947195054
Drosophila,AA,0.3761544507761839,0.39270976616231085,0.1427454298036795
Drosophila,AA,0.2861032196969697,0.3108723958333333,0.1081739457339333
Drosophila,AA,0.35663452708907256,0.4421487603305785,0.14382033945182301
Drosophila,AA,0.24637002341920375,0.2388758782201405,0.10250729318760232
Drosophila,AA,0.29044924356161217,0.35084882780921584,0.1088283669648947
Drosophila,AA,0.27209491954137754,0.20098846787479407,0.13428268061470647
Drosophila,AA,0.3365044750352097,0.38620689655172413,0.14984794008326136
Drosophila,AA,0.1646348733233979,0.18032786885245902,0.06768229226099852
Drosophila,AA,0.40850586611456174,0.4794254658385093,0.2120497830403745
Drosophila,AA,0.48371104815864024,0.5141643059490084,0.10387908806219324
Drosophila,AA,0.2662337662337662,0.31405895691609975,0.11569719229600807
Drosophila,AA,0.5772200772200772,0.6324324324324324,0.18405066380651774
Drosophila,AA,0.4702323542306006,0.4866286716352477,0.11613313119699323
Drosophila,AA,0.27761281653287845,0.2650356778797146,0.12016346742436763
Drosophila,AA,0.3395340338053906,0.33467336683417087,0.1798869954425894
Drosophila,AA,0.30443231731665116,0.2547584187408492,0.18722938410338452
Drosophila,AA,0.19099756690997566,0.17746350364963503,0.08515089979917999
Drosophila,AA,0.45129490392648286,0.47368421052631576,0.21092358008897363
Drosophila,AA,0.3435064935064935,0.39732142857142855,0.11025219694170509
Drosophila,AA,0.38673693456302155,0.3952569169960474,0.18102262935163124
Drosophila,AA,0.21551505947861302,0.22892938496583143,0.07714548177460713
Drosophila,AA,0.3248768633591023,0.352529601722282,0.10271571085038542
Drosophila,AA,0.48765991902834005,0.6123076923076923,0.21112711449250124
Drosophila,AA,0.27970401691331925,0.3081395348837209,0.08842428493762274
Drosophila,AA,0.5529511888631832,0.694819020581973,0.19903885731795115
Drosophila,AA,0.211049898507866,0.20558375634517767,0.08236004721987818
Drosophila,AA,0.3515203851991417,0.37219343696027635,0.13088589441428272
Drosophila,AA,0.4213706655766742,0.40772532188841204,0.16493673015427504
Drosophila,AA,0.2651985990014159,0.3226022803487592,0.11012118742012568
Drosophila,AA,0.20697097918536564,0.23695345557122707,0.08827070211309124
Drosophila,AA,0.18658489247729212,0.2228864218616567,0.07475518741195102
Drosophila,AA,0.3284833538840937,0.42663378545006164,0.19374756484822428
Drosophila,AA,0.20696542893725992,0.23943661971830985,0.08877685507150235
Drosophila,AA,0.3967130877508236,0.3665768194070081,0.1747822796079065
Drosophila,AA,0.15883962780514504,0.18226600985221675,0.07243078352693058
Drosophila,AA,0.31615951090732247,0.34472696957065446,0.11295183452644285
Drosophila,AA,0.45446423737072933,0.5273972602739726,0.23738956837032094
Drosophila,AA,0.17431682570639176,0.18381277425646025,0.040442685011845114
Drosophila,AA,0.28873566780291293,0.18600867678958785,0.20798384874987746
Drosophila,AA,0.4826966063808169,0.4864864864864865,0.10952866169647776
Drosophila,AA,0.4200547017198922,0.449955713020372,0.15742147116446797
Drosophila,AA,0.22789837332027638,0.2746858168761221,0.09162819268683757
Drosophila,AA,0.27675729679583244,0.2678227360308285,0.1073182318164399
Drosophila,AA,0.3738729779899231,0.3550119331742243,0.23014402481512694
Drosophila,AA,0.18526009509616068,0.22365339578454332,0.07916158207435597
Drosophila,AA,0.5385351558028253,0.5887080156604162,0.13597676922511345
Drosophila,AA,0.3857691963886654,0.37570394207562346,0.13686529982929066
Drosophila,AA,0.4616424584878844,0.5110410094637224,0.17350490375692698
Drosophila,AA,0.29978868935005965,0.30638297872340425,0.08021971047999109
Drosophila,AA,0.2973036047680597,0.2713270142180095,0.15346222391405986
Drosophila,AA,0.31975968838713936,0.3805374001452433,0.11800206645752151
Drosophila,AA,0.3505092680458025,0.3966597077244259,0.12387495537712788
Drosophila,AA,0.40042902139676334,0.3817204301075269,0.17057871267449873
Drosophila,AA,0.2807145757206658,0.31790499390986604,0.09212636408844425
Drosophila,AA,0.40300157977883094,0.40165876777251186,0.1494498546348461
Drosophila,AA,0.5099736590038314,0.5501077586206896,0.14962272322217068
Drosophila,AA,0.2953862953862954,0.3123123123123123,0.1455878600695429
Drosophila,AA,0.44791983764586507,0.4931506849315068,0.1128047157899706
Drosophila,AA,0.3142885591954595,0.3329682365826944,0.1459801845439393
Drosophila,AA,0.4690854119425548,0.5238095238095237,0.1834884012143751
Drosophila,AA,0.21009137007271336,0.25513059701492535,0.09688432985545235
Drosophila,AA,0.43712512387211183,0.612736660929432,0.2372706027994789
Drosophila,AA,0.36066595768088305,0.4134731746672045,0.1303848536245818
Drosophila,AA,0.48872838168612814,0.536150234741784,0.17055617934050757
Drosophila,AA,0.2331986531986532,0.2833333333333333,0.11283340637240291
Drosophila,AA,0.4254976580796253,0.4460382513661202,0.09958804504287792
Drosophila,AA,0.4323733862959285,0.4260178748758689,0.19796177140377597
Drosophila,AA,0.6491598528750232,0.7489878542510121,0.1567594747475258
Drosophila,AA,0.34512481463173506,0.3641456582633053,0.16481823512201377
Drosophila,AA,0.2483974358974359,0.1875,0.14561334433205347
Drosophila,AA,0.41430509788718745,0.43283582089552236,0.1840909773429145
Drosophila,AA,0.4598101265822785,0.47943037974683544,0.16840500634446862
Drosophila,AA,0.3015559319907146,0.3581780538302277,0.12865355509144535
Drosophila,AA,0.39024765420704505,0.4263959390862944,0.1544511400219088
Drosophila,AA,0.467035025285634,0.6850533807829181,0.2556933431300134
Drosophila,AA,0.18400243309002434,0.16909975669099755,0.12706243384769153
Drosophila,AA,0.4417540017727723,0.4392304082590333,0.15857848646951506
Drosophila,AA,0.23230896535981282,0.1388888888888889,0.2421113048156186
Drosophila,AA,0.25857834854117384,0.2949194547707559,0.09918909725064454
Drosophila,AA,0.37234567901234567,0.4017094017094017,0.11341511092973419
Drosophila,AA,0.4877075422529968,0.5077805077805078,0.18966092650744315
Drosophila,AA,0.36278204934921354,0.40298507462686567,0.1263523414120407
Drosophila,AA,0.2775774916547449,0.21802575107296138,0.15921324749476426
Drosophila,AA,0.3992115027829313,0.43239795918367346,0.15478066365253923
Drosophila,AA,0.44969651926173665,0.49498327759197325,0.1698043040542307
Drosophila,AA,0.38235392600033485,0.43738489871086556,0.18062804888036804
Drosophila,AA,0.24012898501746086,0.28159851301115246,0.10334507752993644
Drosophila,AA,0.20081294457906668,0.19260533104041272,0.09368178915711732
Drosophila,AA,0.5831041507512096,0.6096256684491979,0.1575997465647464
Drosophila,AA,0.38731800766283525,0.403448275862069,0.12845878629998236
Drosophila,AA,0.3766158190473465,0.5089722675367048,0.18669196428529156
Drosophila,AA,0.3078590167674233,0.34127979924717694,0.15270130724373882
Drosophila,AA,0.3812729111363924,0.341296928327645,0.156736843473466
Drosophila,AA,0.25777240742057006,0.3064894448788116,0.10369934976729674
Drosophila,AA,0.514437320128661,0.5628491620111732,0.17388065898460306
Drosophila,AA,0.3335241645586473,0.391425908667288,0.147474863084234
Drosophila,AA,0.38221233102538743,0.4035608308605341,0.10553497806110704
Drosophila,AA,0.2899870983983133,0.3260643821391485,0.1467451825876753
Drosophila,AA,0.4893785043038774,0.5287846481876333,0.13196609035220233
Drosophila,AA,0.37184388689765036,0.3960573476702509,0.1325441569052433
Drosophila,AA,0.23999799012843853,0.23298083278255122,0.1854105081466439
Drosophila,AA,0.2667587085811385,0.2838785046728972,0.10069499595134396
Drosophila,AA,0.4670888505085396,0.5218767990788715,0.136383795181567
Drosophila,AA,0.3669888097660224,0.3896236012207528,0.12865873682616993
Drosophila,AA,0.24407039020657995,0.14613618974751338,0.2109669231339592
Drosophila,AA,0.43085326706016364,0.5067567567567568,0.1935038557565129
Drosophila,AA,0.3426505837779324,0.3858733472512178,0.13059685569571441
Drosophila,AA,0.23350193896476143,0.22534142640364188,0.11613209560447062
Drosophila,AA,0.3368576420266281,0.3846918489065606,0.12495377648478932
Drosophila,AA,0.14122105613859737,0.1401799100449775,0.07977350050849004
Drosophila,AA,0.3792255027813436,0.4249037227214377,0.13578764571338506
Drosophila,AA,0.39053150710546,0.4348821989528796,0.13875824621510993
Drosophila,AA,0.33739821760594985,0.3866128101557992,0.12102240191049338
Drosophila,AA,0.40585066399398645,0.3298045602605863,0.2182652006930997
Drosophila,AA,0.24559968847352026,0.30093457943925234,0.12569090221577922
Drosophila,AA,0.34025341130604286,0.36215538847117795,0.11851827936085749
Drosophila,AA,0.22811624649859943,0.25315126050420167,0.0923235228391842
Drosophila,AA,0.2704614117000824,0.20468277945619334,0.17924570689300176
Drosophila,AA,0.34776483236242717,0.3824324324324324,0.13525120518890504
Drosophila,AA,0.3522326681345309,0.352112676056338,0.17774000911169072
Drosophila,AA,0.17636363636363636,0.19155844155844157,0.0664654437761196
Drosophila,AA,0.19935476437377578,0.2332065906210393,0.09872281126147729
Drosophila,AA,0.5318639455782312,0.62,0.17614841411413076
Drosophila,AA,0.2137841832963784,0.24390243902439024,0.08357319507891539
Drosophila,AA,0.2911909795630726,0.3276955602536998,0.1433364260032553
Drosophila,AA,0.26900980060831364,0.29646840148698883,0.1193274009419354
Drosophila,AA,0.28304863925883034,0.31210191082802546,0.10120514837455218
Drosophila,AA,0.17586980920314255,0.20555555555555555,0.0734698949479927
Drosophila,AA,0.171968339307049,0.18077956989247312,0.06009624183026518
Drosophila,AA,0.27496556473829203,0.30767045454545455,0.12224254665885813
Drosophila,AA,0.21421636615811374,0.2271844660194175,0.08170104196893639
Drosophila,AA,0.3637390857729841,0.4096045197740113,0.13460326398594125
Drosophila,AA,0.3143162393162393,0.32371794871794873,0.15594274608427844
Drosophila,AA,0.38544043715846993,0.4380327868852459,0.21855425972415546
Drosophila,AA,0.3565852430118358,0.38227146814404434,0.15017652272184903
Drosophila,AA,0.2583681005131156,0.28377211911955114,0.08402192726632039
Drosophila,AA,0.1287390029325513,0.14650537634408603,0.05313671126881215
Drosophila,AA,0.19478548765346945,0.22534142640364188,0.09401890234225714
Drosophila,AA,0.31196581196581197,0.265,0.17222291328604292
Drosophila,AA,0.20350352843503527,0.2146118721461187,0.06378829729901823
Drosophila,AA,0.2955040602099426,0.380718954248366,0.13967063066087887
Drosophila,AA,0.4431631172080426,0.5119418483904465,0.1881005603694908
Drosophila,AA,0.3371651350598719,0.3863157894736842,0.14172810899874982
Drosophila,AA,0.2279536877118915,0.24582613701784686,0.11773507749421834
Drosophila,AA,0.1537153269892691,0.19599109131403117,0.07742037957593044
Drosophila,AA,0.21236598619474226,0.1836295099623048,0.14067577575741236
Drosophila,AA,0.3772609819121447,0.39664082687338503,0.08422285979672704
Drosophila,AA,0.3473129540052195,0.3960504662643993,0.11901537398562712
Drosophila,AA,0.27588219203063735,0.22868605817452356,0.15691223187558664
Drosophila,AA,0.2852922286448298,0.33236994219653176,0.10838697169986387
Drosophila,AA,0.48024469460473623,0.5494276795005203,0.15134064012440077
Drosophila,AA,0.5390552228875582,0.5778443113772455,0.12756125856419964
Drosophila,AA,0.4911094224924012,0.5090425531914894,0.1845501307436091
Drosophila,AA,0.4631705662936589,0.5391658189216684,0.17585901869091214
Drosophila,AA,0.3081046908585156,0.34075104311543813,0.119162251963688
Drosophila,AA,0.39653891859774215,0.41711229946524064,0.21995993066430908
Drosophila,AA,0.350801082974996,0.38461538461538464,0.09102926258180769
Drosophila,AA,0.28792018156125554,0.30664154498351387,0.08958282491836449
Drosophila,AA,0.3156258234519104,0.28405797101449276,0.1796509804495098
Drosophila,AA,0.1630685761150716,0.13462873004857737,0.12627572135044232
Drosophila,AA,0.3379179246337918,0.3819188191881919,0.13246320899227765
Drosophila,AA,0.30183927747379524,0.35170413343002177,0.12393282758218947
Drosophila,AA,0.4908326634861977,0.5677867902665121,0.19508262487679578
Drosophila,AA,0.38738281013730114,0.4231536926147705,0.11320506253529378
Drosophila,AA,0.2258025802580258,0.24392439243924394,0.08334278530133779
Drosophila,AA,0.31505147319843807,0.31309904153354634,0.1056351329488246
Drosophila,AA,0.5201097871200964,0.5618556701030928,0.14768963950483097
Drosophila,AA,0.3843826256710591,0.4407027818448023,0.15913562692977218
Drosophila,AA,0.4703104382248767,0.371900826446281,0.23659167509063453
Drosophila,AA,0.33738662131519276,0.35841836734693877,0.1121604104617027
Drosophila,AA,0.42613281670433756,0.4494672263480788,0.07087742725780652
Drosophila,AA,0.2324696237739716,0.16908212560386474,0.16464873176063913
Drosophila,AA,0.38244085746007345,0.42813220599538815,0.14498429056026854
Drosophila,AA,0.4163678985107557,0.4423262548262548,0.10786211514113313
Drosophila,AA,0.2927480672161523,0.32604945370902816,0.1310206587433372
Drosophila,AA,0.44585046248715315,0.42805755395683454,0.16814763017241405
Drosophila,AA,0.47642151855635,0.5417335473515248,0.14077926911883623
Drosophila,AA,0.27481994836254925,0.36278026905829597,0.1391123671374492
Drosophila,AA,0.49347051073393783,0.5939897698209718,0.17747639577217564
Drosophila,AA,0.4732429877087929,0.654690618762475,0.2623216732189586
Drosophila,AA,0.31055482359830183,0.33172302737520126,0.10859384737940596
Drosophila,AA,0.35858585858585856,0.4201977401129944,0.1383365721477879
Drosophila,AA,0.3810152703260421,0.4304581097812629,0.15358191499359286
Drosophila,AA,0.21930012580960812,0.22091235263967196,0.11402734192838192
Drosophila,AA,0.3805741360089186,0.3612040133779264,0.15087431629737547
Drosophila,AA,0.24093047122209868,0.29068673565381,0.09172295840065162
Drosophila,AA,0.5360935848740727,0.5441441441441441,0.14720257802115927
Drosophila,AA,0.28887831191496116,0.29842931937172773,0.15647113804951285
Drosophila,AA,0.2598982785602504,0.30809859154929575,0.10907441534682953
Drosophila,AA,0.31625781625781624,0.3233766233766234,0.06967579539782078
Drosophila,AA,0.4092073323359742,0.585419734904271,0.21591574117807688
Drosophila,AA,0.3618579887545405,0.3793103448275862,0.11206284066012379
Drosophila,AA,0.26901308807923596,0.2908560311284047,0.09539097901244405
Drosophila,AA,0.4271855010660981,0.46119402985074626,0.1791769510376547
Drosophila,AA,0.248735782669176,0.2232223222322232,0.15893579965045876
Drosophila,AA,0.5174763376472861,0.6502994011976048,0.2297833326396762
Drosophila,AA,0.3322876447876448,0.33204633204633205,0.09814162785374501
Drosophila,AA,0.23962474715770385,0.2507846829880728,0.057155090942509354
Drosophila,AA,0.5372367419436691,0.5781527531083481,0.20861719644053517
Drosophila,AA,0.335817878619435,0.3782657031684269,0.13422090922432142
Drosophila,AA,0.2127652933832709,0.2422752808988764,0.08156263004185534
Drosophila,AA,0.1901639344262295,0.12983606557377048,0.12837380630785591
Drosophila,AA,0.24659291325957994,0.2564534231200898,0.05169408295264623
Drosophila,AA,0.13116253854233728,0.11964219157659337,0.07031838969557262
Drosophila,AA,0.4350877426688691,0.4621409921671018,0.14376683695875594
Drosophila,AA,0.1678258840004668,0.19576379974326058,0.06994304191302524
Drosophila,AA,0.3455628242725017,0.4163771712158809,0.13499468404230794
Drosophila,AA,0.24597034171502258,0.309328968903437,0.11376014113128285
Drosophila,AA,0.25239525691699605,0.28,0.10159495657156932
Drosophila,AA,0.24187134502923976,0.26842105263157895,0.07919992442486291
Drosophila,AA,0.23096774193548386,0.2709677419354839,0.10935288125827171
Drosophila,AA,0.4349762176962922,0.4743828598043782,0.13133079522169225
Drosophila,AA,0.274965034965035,0.3021978021978022,0.1387444846444816
Drosophila,AA,0.24345029575604432,0.2912192040429564,0.09856824412826022
Drosophila,AA,0.2118156353450471,0.22563025210084034,0.0819567370902156
Drosophila,AA,0.3637605563835072,0.44672131147540983,0.15056518419668116
Drosophila,AA,0.2775396377765244,0.25831923293852227,0.1530586942998513
Drosophila,AA,0.17865126676602086,0.19057377049180327,0.07030484225196908
Drosophila,AA,0.5390494336826506,0.5928866306764052,0.16304162558474944
Drosophila,AA,0.24660628019323672,0.2717391304347826,0.08716136242389125
Drosophila,AA,0.30858505818886167,0.35684099313259376,0.12555147995829571
Drosophila,AA,0.2879608146429492,0.31554524361948955,0.08274526400535803
Drosophila,AA,0.3624661329009155,0.3804195804195804,0.14528398639021373
Drosophila,AA,0.33492918412128464,0.3123877917414722,0.1487001080734423
Drosophila,AA,0.17529756770743488,0.19734345351043645,0.0765891343846911
Drosophila,AA,0.16562913670351687,0.19893742621015348,0.07744499530628025
Drosophila,AA,0.38330245770038285,0.3945905891070767,0.1074905920771096
Drosophila,AA,0.3446684894053315,0.4223057644110276,0.14717225132541256
Drosophila,AA,0.37617996224120825,0.40707497360084477,0.1523734624055657
Drosophila,AA,0.339640305493964,0.3556541019955654,0.07961630168854254
Drosophila,AA,0.5853557639271925,0.6438223938223938,0.1820212449059792
Drosophila,AA,0.48611358200399296,0.5391389432485323,0.1566229769933313
Drosophila,AA,0.17816835016835017,0.17777777777777778,0.08082512228338574
Drosophila,AA,0.28751326494517154,0.3649805447470817,0.1309506504550236
Drosophila,AA,0.1844527565457798,0.20274299344066785,0.08473899566905256
Drosophila,AA,0.3123473541383989,0.3837953091684435,0.14763159566826695
Drosophila,AA,0.38050381635907954,0.4379699248120301,0.15215380507331575
Drosophila,AA,0.4112160852713178,0.42078488372093026,0.10352113163881808
Drosophila,AA,0.3659425271552317,0.4290182868142445,0.2001446907230882
Drosophila,AA,0.47910379515317786,0.5329218106995884,0.14747370300003543
Drosophila,AA,0.23172011822877822,0.26390154968094803,0.10163908965274607
Drosophila,AA,0.28746817771208016,0.3265582655826558,0.11715063217676978
Drosophila,AA,0.46978760294755095,0.5240572171651495,0.16576749360164827
Drosophila,AA,0.2653629008788778,0.2713462545835516,0.08296877813947467
Drosophila,AA,0.3035422788116226,0.3330068560235064,0.12663747520773236
Drosophila,AA,0.3423974255832663,0.3868520859671302,0.14518059525192814
Drosophila,AA,0.32922374429223744,0.3184931506849315,0.06717196073326176
Drosophila,AA,0.3180131467345208,0.3171119592875318,0.08709477144127316
Drosophila,AA,0.2543097129201016,0.17723342939481268,0.22469955544829148
Drosophila,AA,0.3544785730347542,0.3226993865030675,0.13274471427394674
Drosophila,AA,0.23080529047379877,0.2839779005524862,0.10544889541297038
Drosophila,AA,0.3125716625716626,0.33783783783783783,0.12255297268304156
Drosophila,AA,0.3173310225303293,0.33665511265164644,0.14012348144828926
Drosophila,AA,0.25903410133145055,0.22019464720194648,0.12494594391985792
Drosophila,AA,0.3390853371051391,0.4073550212164074,0.2095517457130348
Drosophila,AA,0.3445029239766082,0.29210526315789476,0.22461095819857127
Drosophila,AA,0.25857925122029785,0.23793949304987735,0.14636812184272288
Drosophila,AA,0.18941818181818182,0.152,0.13840128062310145
Drosophila,AA,0.24952025954303858,0.2619589977220957,0.09108282934018096
Drosophila,AA,0.2601056061116728,0.2659251769464105,0.09379665556018191
Drosophila,AA,0.2746543778801843,0.28297491039426526,0.06476630823556252
Drosophila,AA,0.3014708488392699,0.33723196881091616,0.10041086728668357
Drosophila,AA,0.3110098627787307,0.38207547169811323,0.12183562971040518
Drosophila,AA,0.24633549000255875,0.28166465621230397,0.09618336508238906
Drosophila,AA,0.22828221832607085,0.20843183609141056,0.08930906347188808
Drosophila,AA,0.28592606224185174,0.3174763832658569,0.09836589923223633
Drosophila,AA,0.3580320751373383,0.4152046783625731,0.16646413987533235
Drosophila,AA,0.43360908106645013,0.5529841656516443,0.1950666952122565
Drosophila,AA,0.22348408372030418,0.20775287704421563,0.11378312885416965
Drosophila,AA,0.16462450592885375,0.10988142292490119,0.20931846520393282
Drosophila,AA,0.38178125906585436,0.46736292428198434,0.15536128976825517
Drosophila,AA,0.33460542456044706,0.315592203898051,0.16014047923991614
Drosophila,AA,0.31055193218781607,0.3185073501696193,0.10937338600994145
Drosophila,AA,0.355513468013468,0.4638888888888889,0.17641067058744941
Drosophila,AA,0.18867113415096726,0.22948539638386647,0.08688154957872835
Drosophila,AA,0.20509890737699066,0.18303220738413198,0.09023745147426397
Drosophila,AA,0.35349643221202853,0.39908256880733944,0.14487556361392423
Drosophila,AA,0.16710417242332135,0.19300911854103342,0.08006611773043085
Drosophila,AA,0.31221680527674217,0.34542586750788645,0.10176791845779479
Drosophila,AA,0.22399150743099788,0.28450106157112526,0.10526031879807504
Drosophila,AA,0.3978497583317736,0.5069637883008357,0.22983179369361417
Drosophila,AA,0.30663642179956957,0.3646833013435701,0.14088949922733862
Drosophila,AA,0.2931603368276336,0.34026465028355385,0.10156511662274455
Drosophila,AA,0.26394410712800465,0.3110704483074108,0.11374422790192888
Drosophila,AA,0.1998899610631454,0.2227653631284916,0.08160188155703357
Drosophila,AA,0.2776248697160903,0.26040554962646745,0.178913049817492
Drosophila,AA,0.31009550904287747,0.3498069498069498,0.13964710916958623
Drosophila,AA,0.3073153459386729,0.35882727852135116,0.12707760890476297
Drosophila,AA,0.24933138828106005,0.28774617067833697,0.07401981144062258
Drosophila,AA,0.3314711658345775,0.34239802224969096,0.19470201995897038
Drosophila,AA,0.3281710914454277,0.4117994100294985,0.1554819818588387
Drosophila,AA,0.3587120433203098,0.3772362739049969,0.13386708812165454
Drosophila,AA,0.34984341899235516,0.4551901998710509,0.1555162256206615
Drosophila,AA,0.25697293360844764,0.2676902536715621,0.09757172473051216
Drosophila,AA,0.22157258064516128,0.23790322580645162,0.07481325952611013
Drosophila,AA,0.2030163599182004,0.07246932515337423,0.2794633718859805
Drosophila,AA,0.22438117766325927,0.23113964686998395,0.09431754041657854
Drosophila,AA,0.13930312589618582,0.16482649842271294,0.06464355726281111
Drosophila,AA,0.26494343825098177,0.32108317214700194,0.12640326337215388
Drosophila,AA,0.24362906170135085,0.27710843373493976,0.10874191920001369
Drosophila,AA,0.16495771670190273,0.17877906976744187,0.05705931698396313
Drosophila,AA,0.4217075070000166,0.43739748496446146,0.16361809176243652
Drosophila,AA,0.36857772221229984,0.43713163064833005,0.13792935902419895
Drosophila,AA,0.42144700277888053,0.39956331877729256,0.17480881261725267
Drosophila,AA,0.27616935909618834,0.2857142857142857,0.14960398428276103
Drosophila,AA,0.12542239635835695,0.06692406692406692,0.2063940499170653
Drosophila,AA,0.45615162222936073,0.5441696113074205,0.16346056326956154
Drosophila,AA,0.25761431104942556,0.2591178965224767,0.0981579886882253
Drosophila,AA,0.4778640647816275,0.5412186379928315,0.23964627394358168
Drosophila,AA,0.3206976691712358,0.38942665673864485,0.12696955071835672
Drosophila,AA,0.34444354346253964,0.3774597495527728,0.10652202696318676
Drosophila,AA,0.413753232922562,0.5,0.14751579999452985
Drosophila,AA,0.30503746213932725,0.3601147776183644,0.11820867985712104
Drosophila,AA,0.23633997136535206,0.2756735650136665,0.09916733830676114
Drosophila,AA,0.5170940170940171,0.5913461538461539,0.20544862064366634
Drosophila,AA,0.2749960336347771,0.32094240837696336,0.10658316387861598
Drosophila,AA,0.23216464991209018,0.26621160409556316,0.07581969487491548
Drosophila,AA,0.2612690371204303,0.22703818369453044,0.1366756870521266
Drosophila,AA,0.24599703294454675,0.2953499079189687,0.0867209900456621
Drosophila,AA,0.3078753638075672,0.3465160075329567,0.10939099480705367
Drosophila,AA,0.40226980226980225,0.46589446589446587,0.15807695893274548
Drosophila,AA,0.3076369175379076,0.2536176694592536,0.15855904439068283
Drosophila,AA,0.28994472539103844,0.31953428201811124,0.10014717249511024
Drosophila,AA,0.3041462474533341,0.33070866141732286,0.11280425878816004
Drosophila,AA,0.4625890238793465,0.5253456221198156,0.1588219177108862
Drosophila,AA,0.2909062693978895,0.30307262569832405,0.09219926737735705
Drosophila,AA,0.5488707444014707,0.638733705772812,0.21273414846255706
Drosophila,AA,0.3830665024630542,0.38685344827586204,0.1940474767370234
Drosophila,AA,0.3610617452722716,0.4398496240601504,0.16484577608676537
Drosophila,AA,0.45720978789499145,0.5965166908563135,0.18277243570487506
